# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.02452834 3468.9663179343934 4.19466254301929 -1.1554503010309924 0.0 0.13 0.30680798225964523 0.00 8.57787 9.90979 7.44147 6.98762
0.01 0.02452834 3478.237288166623 4.195806397151077 -1.1433137056451854 0.0 0.13 0.31372654170038033 0.00 8.54013 9.86446 7.40672 6.95270
0.01 0.02452834 3487.1766437915135 4.197156293850063 -1.1318324998118643 0.0 0.13 0.32042754101494453 0.00 8.50425 9.82125 7.37373 6.91955
0.01 0.024528340000000003 3496.0341129038748 4.198493471166414 -1.1203921846605462 0.0 0.13 0.32712733181927883 0.00 8.46856 9.77831 7.34090 6.88655
0.01 0.024528340000000003 3504.5636111226004 4.20004511558523 -1.1096173934622784 0.0 0.13 0.3336051413822644 0.00 8.43476 9.73750 7.30986 6.85535
0.01 0.024528340000000003 3513.135458305522 4.201517143887418 -1.0986526889120214 0.0 0.13 0.3401627082093729 0.00 8.40047 9.69620 7.27834 6.82367
0.01 0.02452834 3521.4406706743707 4.203161758906771 -1.088223086763314 0.0 0.13 0.3465436748939791 0.00 8.36770 9.65662 7.24826 6.79344
0.01 0.024528340000000003 3529.5969142346376 4.2048417251547745 -1.0779785384115135 0.0 0.13 0.3528712367496727 0.00 8.33552 9.61774 7.21871 6.76374
0.01 0.02452834 3537.5087402832355 4.206656691615258 -1.0681809698592686 0.0 0.13 0.35905258211392266 0.00 8.30462 9.58034 7.19037 6.73526
0.01 0.024528340000000003 3545.3373417232992 4.208515312616739 -1.0585239479032114 0.0 0.13 0.3651959657943953 0.00 8.27413 9.54343 7.16242 6.70718
0.01 0.024528340000000003 3553.1053095612265 4.210463446782662 -1.0490695392050902 0.0 0.13 0.3712793294540292 0.00 8.24377 9.50627 7.13485 6.67965
0.01 0.024528340000000003 3560.763171664531 4.2125372600206274 -1.0399249746014254 0.0 0.13 0.3772649337260402 0.00 8.21403 9.46960 7.10802 6.65296
0.01 0.02452834 3568.331951218121 4.214664655423677 -1.0309427305598582 0.0 0.13 0.3832046510334369 0.00 8.18477 9.43349 7.08164 6.62672
0.01 0.02452834 3575.75911247209 4.216895050701823 -1.0222576527339093 0.0 0.13 0.389050277233923 0.00 8.15636 9.39836 7.05605 6.60128
0.01 0.02452834 3583.0397969746527 4.21920688392098 -1.0138348520328655 0.0 0.13 0.39481399389658056 0.00 8.12873 9.36413 7.03119 6.57656
0.01 0.024528340000000003 3590.3296899417583 4.22153716708881 -1.0055675445296266 0.0 0.13 0.4006061897636683 0.00 8.10149 9.33029 7.00671 6.55224
0.01 0.024528340000000003 3600.4954018321455 4.222429169908268 -0.9939142553336239 0.0 0.13 0.40848315704911564 0.00 8.06371 9.28368 6.97265 6.51841
0.01 0.02452834 3610.3072218923617 4.223435235951824 -0.982754255169102 0.0 0.13 0.4161588053638718 0.00 8.02745 9.23889 6.93998 6.48597
0.01 0.024528340000000003 3620.06530747179 4.22437640108754 -0.9715523454967744 0.0 0.13 0.42385058501753325 0.00 7.99117 9.19417 6.90726 6.45347
0.01 0.024528340000000003 3629.400567639975 4.2255099500250255 -0.9610227328338404 0.0 0.13 0.43126899145063174 0.00 7.95690 9.15181 6.87639 6.42282
0.01 0.02452834 3638.56024702662 4.226695160359837 -0.9507364617823209 0.0 0.13 0.43858795406430223 0.00 7.92264 9.10903 6.84592 6.39294
0.01 0.024528340000000003 3647.2860733759485 4.228120809029548 -0.9412060245139273 0.0 0.13 0.44559966399647577 0.00 7.89050 9.06866 6.81748 6.36511
0.01 0.024528340000000003 3655.798994533138 4.229640821094195 -0.9320149714660044 0.0 0.13 0.4524731977322487 0.00 7.85942 9.02955 6.79000 6.33823
0.01 0.02452834 3663.944955415591 4.231316200248471 -0.9233831656759841 0.0 0.13 0.4591192221817182 0.00 7.83006 8.99250 6.76409 6.31290
0.01 0.024528340000000003 3671.987022581517 4.2329396328349205 -0.9147629786249626 0.0 0.13 0.46575922486541554 0.00 7.80085 8.95574 6.73827 6.28767
0.01 0.024528340000000003 3679.724324684972 4.234663889329133 -0.9065612269235741 0.0 0.13 0.47222854205374454 0.00 7.77297 8.92058 6.71366 6.26361
0.01 0.024528340000000003 3687.2001848408913 4.236543419255171 -0.8988307084138834 0.0 0.13 0.47850685822578076 0.00 7.74649 8.88707 6.69034 6.24083
0.01 0.02452834 3694.390109545082 4.238592198587658 -0.891612259712262 0.0 0.13 0.48457753441225515 0.00 7.72153 8.85534 6.66843 6.21944
0.01 0.02452834 3701.309563478391 4.2407580863796115 -0.884807464946592 0.0 0.13 0.4904799806035813 0.00 7.69785 8.82513 6.64768 6.19920
0.01 0.024528340000000003 3708.162725188982 4.242903477383415 -0.8780309119627818 0.0 0.13 0.49637043452822727 0.00 7.67432 8.79515 6.62704 6.17908
0.01 0.024528339999999996 3720.6768674068853 4.245619047277345 -0.8658088928465761 0.0 0.13 0.507031325453744 0.00 7.63227 8.74190 6.59016 6.14342
0.01 0.024528340000000003 3743.937920405763 4.24899229190889 -0.8427701020690973 0.0 0.13 0.5267143867705291 0.00 7.55444 8.64451 6.52165 6.07796
0.01 0.02452834 3766.6742826413247 4.252457489768214 -0.8204466631693725 0.0 0.13 0.5460004188895263 0.00 7.47900 8.55013 6.45525 6.01454
0.01 0.02452834 3789.8593777873775 4.255883662204033 -0.7976569296790255 0.0 0.13 0.5656462178810528 0.00 7.40222 8.45423 6.38760 5.94992
0.01 0.024528340000000003 3812.6906209696804 4.259390118444591 -0.7753910120906949 0.0 0.13 0.5850175932790055 0.00 7.32740 8.36139 6.32173 5.88766
0.01 0.024528340000000003 3865.438120453922 4.265746109648409 -0.7260221081799839 0.0 0.13 0.6298640241260445 0.00 7.16102 8.15571 6.17580 5.75162
