# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.018346539999999998 3500.335859097958 4.209269009429127 -1.1582066427464688 0.0 0.03 0.30377577077734796 0.00 8.50345 9.76300 7.39655 6.93457
0.01 0.018346539999999998 3509.9741317960707 4.2104129355774536 -1.1457075037506326 0.0 0.03 0.31087226981596633 0.00 8.46444 9.71586 7.36085 6.89920
0.01 0.01834654 3519.4095237498095 4.211588999537459 -1.1334426314243549 0.0 0.03 0.31789761559578233 0.00 8.42618 9.66966 7.32583 6.86452
0.01 0.018346539999999998 3528.490787437391 4.212986368399839 -1.1218843979307345 0.0 0.03 0.3246840380465882 0.00 8.38995 9.62578 7.29272 6.83172
0.01 0.018346539999999995 3537.69980589245 4.214254551609457 -1.1099769173147045 0.0 0.03 0.33160559429642167 0.00 8.35278 9.58089 7.25871 6.79803
0.01 0.018346539999999998 3546.599167955586 4.215706083435314 -1.098667219139539 0.0 0.03 0.3383262572909206 0.00 8.31733 9.53798 7.22631 6.76594
0.01 0.018346539999999998 3555.3202447865697 4.217187666955593 -1.0875636207711084 0.0 0.03 0.34498449117022034 0.00 8.28230 9.49546 7.19450 6.73472
0.01 0.01834654 3563.71519683466 4.218850233487067 -1.0770661800986898 0.0 0.03 0.351438020929903 0.00 8.24898 9.45489 7.16432 6.70517
0.01 0.018346539999999998 3572.0613967112786 4.2205357946789155 -1.0666465046479425 0.0 0.03 0.3578743993627999 0.00 8.21590 9.41462 7.13437 6.67584
0.01 0.018346539999999998 3580.279175983583 4.222334317005646 -1.0565358296769325 0.0 0.03 0.36421132611079254 0.00 8.18369 9.37534 7.10524 6.64732
0.01 0.018346539999999998 3588.409570348845 4.224237314029515 -1.046681389890114 0.0 0.03 0.37046797538311294 0.00 8.15219 9.33684 7.07679 6.61948
0.01 0.018346539999999998 3596.4168377403944 4.226207542559435 -1.0370478827218985 0.0 0.03 0.3766563514170269 0.00 8.12135 9.29912 7.04894 6.59223
0.01 0.01834654 3604.274287675726 4.2282787292041455 -1.0277190746406586 0.0 0.03 0.3827463362227232 0.00 8.09139 9.26240 7.02191 6.56579
0.01 0.01834654 3611.9871763147394 4.230434714705346 -1.0186608517139562 0.0 0.03 0.38874986741587264 0.00 8.06221 9.22661 6.99562 6.54009
0.01 0.01834654 3619.4349702635263 4.23274021470412 -1.0100949530382022 0.0 0.03 0.3945871909659031 0.00 8.03447 9.19246 6.97066 6.51569
0.01 0.018346539999999998 3626.8424475880943 4.235048704276024 -1.0016692452702667 0.0 0.03 0.40043323888414056 0.00 8.00712 9.15876 6.94607 6.49167
0.01 0.018346539999999998 3636.798500376377 4.235813110020442 -0.9900963255466808 0.0 0.03 0.4082499034880949 0.00 7.96991 9.11314 6.91267 6.45930
0.01 0.018346539999999998 3646.7988907521194 4.23643101923512 -0.9782745243443038 0.0 0.03 0.4161638692474465 0.00 7.93192 9.06668 6.87862 6.42646
0.01 0.018346539999999998 3656.3215006974906 4.23729733787828 -0.9672599283027692 0.0 0.03 0.4237489221376584 0.00 7.89633 9.02302 6.84678 6.39577
0.01 0.01834654 3665.7641642367603 4.238159878385229 -0.9563251315301955 0.0 0.03 0.43129897376110227 0.00 7.86103 8.97974 6.81518 6.36532
0.01 0.018346539999999998 3674.6877936611536 4.239302995435657 -0.9462778219667075 0.0 0.03 0.43848783031671196 0.00 7.82836 8.93951 6.78602 6.33723
