# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.02329198 3473.3801225155776 4.197360724341768 -1.1584239090427257 0.0 0.11 0.3048195250404057 0.00 8.57170 9.89175 7.44010 6.98455
0.01 0.02329198 3482.79865736468 4.198460620787414 -1.146071313239225 0.0 0.11 0.311821583150023 0.00 8.53330 9.84560 7.40476 6.94913
0.01 0.02329198 3491.8679211913236 4.199771303879178 -1.1343995655880241 0.0 0.11 0.31859664382563724 0.00 8.49684 9.80166 7.37127 6.91556
0.01 0.02329198 3500.8354640071484 4.201077105076378 -1.1228013951474407 0.0 0.11 0.3253586817097589 0.00 8.46066 9.75810 7.33802 6.88223
0.01 0.02329198 3509.4704431226096 4.20259841264914 -1.111875751545926 0.0 0.11 0.3318958008697729 0.00 8.42639 9.71671 7.30658 6.85071
0.01 0.02329198 3518.162287431253 4.204031072630858 -1.100732123392402 0.0 0.11 0.3385223847285924 0.00 8.39156 9.67474 7.27458 6.81864
0.01 0.02329198 3526.578382111058 4.205638990619935 -1.0901374486362037 0.0 0.11 0.3449670692766144 0.00 8.35830 9.63454 7.24407 6.78805
0.01 0.02329198 3534.8403763822234 4.207281257838184 -1.0797314509276426 0.0 0.11 0.3513567634374738 0.00 8.32562 9.59507 7.21410 6.75801
0.01 0.02329198 3542.8434549718236 4.209067489041611 -1.0698021747040543 0.0 0.11 0.35758932698261986 0.00 8.29432 9.55717 7.18542 6.72926
0.01 0.023291979999999997 3550.770613226359 4.210892405520273 -1.0599989704050894 0.0 0.11 0.3637887664182231 0.00 8.26320 9.51933 7.15702 6.70090
0.01 0.02329198 3558.6227953410375 4.212811449186923 -1.05042018646779 0.0 0.11 0.3699201414406883 0.00 8.23230 9.48139 7.12909 6.67319
0.01 0.023291979999999997 3566.3703979419083 4.214851565698515 -1.0411389491173364 0.0 0.11 0.37595781509847814 0.00 8.20221 9.44435 7.10194 6.64627
0.01 0.02329198 3574.0210077886513 4.216949220139587 -1.0320348934126102 0.0 0.11 0.3819440269668666 0.00 8.17266 9.40794 7.07528 6.61983
0.01 0.023291979999999997 3581.5293407892323 4.219148910822373 -1.0232276123975224 0.0 0.11 0.387835972255568 0.00 8.14395 9.37250 7.04941 6.59419
