# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.016269878 3518.994214674307 4.215889331415886 -1.1521302567719787 0.0 -0.01 0.3065462257615003 0.00 8.45011 9.67460 7.35775 6.89374
0.01 0.016269877999999995 3528.6629004385627 4.2169853567565445 -1.1395163118712055 0.0 -0.01 0.3137045297178586 0.00 8.41078 9.62704 7.32181 6.85835
0.01 0.016269877999999998 3537.9723155075626 4.218304088951034 -1.1276180272857281 0.0 -0.01 0.3206199038383748 0.00 8.37350 9.58185 7.28781 6.82487
0.01 0.016269877999999998 3547.437419014115 4.219479729432223 -1.1153232603875747 0.0 -0.01 0.32768669338618533 0.00 8.33515 9.53548 7.25278 6.79037
0.01 0.016269878 3556.5819833503283 4.2208384091069915 -1.1036372653253361 0.0 -0.01 0.33454793629773283 0.00 8.29843 9.49101 7.21946 6.75792
0.01 0.016269878 3565.5367533060517 4.22222727714137 -1.0921695649493743 0.0 -0.01 0.3413418251005827 0.00 8.26241 9.44741 7.18679 6.72612
0.01 0.016269877999999998 3574.137759684664 4.223810527529682 -1.0813579725874676 0.0 -0.01 0.34791253899735514 0.00 8.22831 9.40602 7.15590 6.69606
0.01 0.016269878 3582.692766863102 4.225417307615488 -1.070624629847341 0.0 -0.01 0.35446535309604144 0.00 8.19444 9.36494 7.12522 6.66622
0.01 0.016269878 3591.1045464007916 4.227141834804378 -1.0602236468824096 0.0 -0.01 0.3609097681624806 0.00 8.16152 9.32492 7.09544 6.63725
0.01 0.016269878 3599.4248845133097 4.228967664266991 -1.0500785609289576 0.0 -0.01 0.3672734044678456 0.00 8.12932 9.28569 7.06632 6.60894
0.01 0.016269878 3607.617429341883 4.2308592737901325 -1.0401575098289542 0.0 -0.01 0.373567066711787 0.00 8.09777 9.24726 7.03783 6.58125
0.01 0.016269878 3615.6489962475034 4.232856275642147 -1.0305604072917993 0.0 -0.01 0.3797548673819089 0.00 8.06717 9.20989 7.01020 6.55440
0.01 0.016269877999999998 3623.532255150992 4.234938316013298 -1.0212391225284296 0.0 -0.01 0.38585373042305643 0.00 8.03737 9.17347 6.98332 6.52830
0.01 0.016269878 3631.140957227097 4.237174017385046 -1.0124270208450967 0.0 -0.01 0.39177974676714056 0.00 8.00904 9.13875 6.95783 6.50357
0.01 0.016269877999999998 3638.5428612181404 4.239509896025601 -1.0039681984577913 0.0 -0.01 0.3975883134923508 0.00 7.98163 9.10515 6.93332 6.48012
0.01 0.016269878 3647.33710578837 4.240952470871387 -0.993828369779214 0.0 -0.01 0.40451515273824745 0.00 7.94905 9.06535 6.90415 6.45219
0.01 0.016269878 3657.46579434405 4.2414427283774625 -0.9817261110982697 0.0 -0.01 0.41253811908009547 0.00 7.91067 9.01876 6.86963 6.41910
0.01 0.016269878 3667.094688708663 4.242201958599172 -0.9704820835644803 0.0 -0.01 0.4202110779885465 0.00 7.87480 8.97510 6.83744 6.38828
0.01 0.016269878 3676.67481247959 4.2429387654877555 -0.9592642453080438 0.0 -0.01 0.42786999947788973 0.00 7.83907 8.93163 6.80536 6.35754
0.01 0.016269878 3685.705175955654 4.243969596134532 -0.9489796721183873 0.0 -0.01 0.4351488254035176 0.00 7.80608 8.89135 6.77581 6.32926
0.01 0.016269878 3694.5505160751254 4.245111870368536 -0.9390427680896557 0.0 -0.01 0.44228442422894415 0.00 7.77412 8.85225 6.74720 6.30190
0.01 0.016269877999999998 3702.9286544174847 4.246496397778754 -0.9298849597953 0.0 -0.01 0.44910249566810534 0.00 7.74444 8.81581 6.72072 6.27660
0.01 0.016269877999999998 3711.240126340715 4.247796623647353 -0.9206608133222638 0.0 -0.01 0.455943402463042 0.00 7.71469 8.77937 6.69411 6.25116
0.01 0.016269877999999998 3719.2711208865885 4.249179263822301 -0.9118069459622442 0.0 -0.01 0.4626314304848599 0.00 7.68615 8.74455 6.66863 6.22700
0.01 0.016269877999999998 3726.979567440067 4.2507441456340604 -0.903516180368128 0.0 -0.01 0.4690899516252501 0.00 7.65934 8.71187 6.64476 6.20458
0.01 0.016269878 3734.3348625755466 4.252503152964206 -0.895829815710107 0.0 -0.01 0.4753023031278241 0.00 7.63429 8.68123 6.62252 6.18373
0.01 0.016269877999999998 3741.4327265627635 4.254382361654859 -0.8885520737326924 0.0 -0.01 0.4813473221354696 0.00 7.61046 8.65201 6.60140 6.16394
0.01 0.016269877999999998 3748.5900048877174 4.256180526306619 -0.8811103910296798 0.0 -0.01 0.48745591299563806 0.00 7.58621 8.62234 6.57986 6.14375
0.01 0.016269877999999998 3755.3269724414017 4.258192516568597 -0.8743533242295041 0.0 -0.01 0.49328585679122955 0.00 7.56397 8.59501 6.56018 6.12534
0.01 0.016269877999999998 3761.758354667003 4.260276088016776 -0.867960225470712 0.0 -0.01 0.4989654685027386 0.00 7.54287 8.56906 6.54153 6.10790
0.01 0.016269877999999998 3786.611872662279 4.263818474115129 -0.8426433178660365 0.0 -0.01 0.5207336104995123 0.00 7.46053 8.46829 6.46845 6.03944
0.01 0.016269877999999998 3817.449174185917 4.267607903120705 -0.8111060740092116 0.0 -0.01 0.5475540857792522 0.00 7.35900 8.34521 6.37812 5.95533
0.01 0.016269878 3848.6019663786424 4.271472379296787 -0.7794693815509681 0.0 -0.01 0.5745582530681672 0.00 7.25786 8.22356 6.28799 5.87200
0.01 0.016269878 3905.433899863876 4.277152042384204 -0.7236603096260816 0.0 -0.01 0.6237180423264967 0.00 7.07876 8.00792 6.12876 5.72542
0.01 0.016269878 3938.6645041151432 4.2802130931191 -0.6926635187913627 0.0 -0.01 0.6526052483247069 0.00 6.97842 7.88708 6.03997 5.64462
0.01 0.016269877999999998 3975.8069817245505 4.2840820458047695 -0.6586498336783435 0.0 -0.01 0.6848359768668283 0.00 6.86816 7.75420 5.94245 5.55594
0.01 0.016269877999999998 4005.6159596397147 4.286027964857324 -0.6319078705079965 0.0 -0.01 0.7095875278705591 0.00 6.78227 7.65129 5.86651 5.48727
0.01 0.016269878 4028.52667618897 4.2863270433449205 -0.6116959905870817 0.0 -0.01 0.7278714599939855 0.00 6.71744 7.57361 5.80924 5.43560
0.01 0.016269878 4054.1580336759575 4.287458158282638 -0.5895618219648535 0.0 -0.01 0.7489908622487342 0.00 6.64618 7.48807 5.74637 5.37895
0.01 0.016269878 4082.3422750756567 4.2892897328794275 -0.5655754080258638 0.0 -0.01 0.7727580119753379 0.00 6.56893 7.39557 5.67821 5.31762
0.01 0.016269877999999998 4113.454939431822 4.291891126175404 -0.5395118385172663 0.0 -0.01 0.7994438827751156 0.00 6.48517 7.29591 5.60419 5.25118
0.01 0.016269877999999998 4162.237753619962 4.291482944063585 -0.4998219251648718 0.0 -0.01 0.8361246493984795 0.00 6.35719 7.14311 5.49144 5.15018
0.01 0.016269877999999998 4222.934925100401 4.292160943778365 -0.4510613014776387 0.0 -0.01 0.8836073446058164 0.00 6.20029 6.95598 5.35369 5.02738
0.01 0.016269878 4270.096315964093 4.290329240765887 -0.414666849334973 0.0 -0.01 0.9150453512647023 0.00 6.08259 6.81508 5.25080 4.93599
0.01 0.016269878 4309.113248680062 4.288253945725064 -0.38548607281569386 0.0 -0.01 0.9397506478568908 0.00 5.98857 6.70252 5.16897 4.86332
0.01 0.016269877999999998 4354.0881357087155 4.2875697384246605 -0.35228212973686246 0.0 -0.01 0.9714011867958953 0.00 5.88150 6.57437 5.07576 4.78057
